City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Cuamba,MZ,-14.8031,36.5372,63.41,86,5,4.21,clear sky,2022-05-02 04:37:25
1,Albany,US,42.6001,-73.9662,57.61,51,100,4.59,overcast clouds,2022-05-02 04:37:26
2,Mataura,NZ,-46.1927,168.8643,63.48,68,44,2.21,scattered clouds,2022-05-02 04:37:26
3,Bredasdorp,ZA,-34.5322,20.0403,54.57,93,98,5.03,overcast clouds,2022-05-02 04:37:26
4,Cape Town,ZA,-33.9258,18.4232,62.11,83,0,1.14,clear sky,2022-05-02 04:36:13
5,Ushuaia,AR,-54.8,-68.3,38.86,70,0,9.22,clear sky,2022-05-02 04:37:27
6,Dikson,RU,73.5069,80.5464,18.5,89,100,14.34,light snow,2022-05-02 04:37:27
7,Cherskiy,RU,68.75,161.3,31.3,87,57,5.57,broken clouds,2022-05-02 04:37:28
8,Barrow,US,71.2906,-156.7887,19.42,86,100,14.97,overcast clouds,2022-05-02 04:37:28
9,Ketchikan,US,55.3422,-131.6461,45.07,87,100,11.5,light rain,2022-05-02 04:37:29
10,Hasaki,JP,35.7333,140.8333,63.0,51,97,6.04,overcast clouds,2022-05-02 04:37:29
11,Rikitea,PF,-23.1203,-134.9692,76.62,73,99,6.33,overcast clouds,2022-05-02 04:37:30
12,Talaya,RU,61.3833,152.75,34.43,100,30,2.62,scattered clouds,2022-05-02 04:37:30
13,Thompson,CA,55.7435,-97.8558,23.16,80,75,11.5,broken clouds,2022-05-02 04:35:28
14,Mayumba,GA,-3.432,10.6554,77.23,91,84,4.59,broken clouds,2022-05-02 04:37:30
15,Hermanus,ZA,-34.4187,19.2345,59.81,77,96,9.8,overcast clouds,2022-05-02 04:37:31
16,Puerto Ayora,EC,-0.7393,-90.3518,71.76,91,13,4.94,few clouds,2022-05-02 04:37:31
17,Kulhudhuffushi,MV,6.6221,73.07,85.66,75,90,17.4,overcast clouds,2022-05-02 04:37:32
18,Avarua,CK,-21.2078,-159.775,80.65,78,75,2.3,broken clouds,2022-05-02 04:37:32
19,Tuktoyaktuk,CA,69.4541,-133.0374,37.4,75,75,12.66,broken clouds,2022-05-02 04:37:33
20,Atuona,PF,-9.8,-139.0333,78.49,81,100,15.37,light rain,2022-05-02 04:35:58
21,Hobart,AU,-42.8794,147.3294,71.02,51,75,20.71,broken clouds,2022-05-02 04:35:33
22,Srednekolymsk,RU,67.45,153.6833,31.96,100,100,3.11,overcast clouds,2022-05-02 04:37:33
23,Provideniya,RU,64.3833,-173.3,25.97,52,13,12.17,few clouds,2022-05-02 04:35:25
24,Buala,SB,-8.145,159.5921,84.18,71,68,4.61,broken clouds,2022-05-02 04:37:34
25,North Branch,US,45.5113,-92.9802,43.09,94,100,8.01,overcast clouds,2022-05-02 04:36:48
26,Vila Franca Do Campo,PT,37.7167,-25.4333,64.2,88,42,3.56,scattered clouds,2022-05-02 04:37:34
27,Quirinopolis,BR,-18.4483,-50.4517,65.55,51,3,2.04,clear sky,2022-05-02 04:37:35
28,Yar-Sale,RU,66.8333,70.8333,20.68,76,13,5.57,few clouds,2022-05-02 04:33:17
29,Punta Arenas,CL,-53.15,-70.9167,35.71,87,0,11.5,clear sky,2022-05-02 04:37:35
